text,frequency
good,24775
like,18170
place,16525
great,15824
food,14143
time,13276
really,12324
also,11626
well,10820
would,10727
back,10420
nice,10260
even,8721
service,8468
little,8072
menu,7554
pretty,7551
vegas,7447
much,7288
chicken,7167
best,6911
made,6871
friendly,6602
restaurant,6505
cheese,6500
area,6291
came,6149
first,6085
order,6040
love,5965
sauce,5935
come,5759
people,5740
since,5662
fresh,5629
around,5598
night,5575
still,5563
could,5562
right,5561
make,5529
small,5429
though,5395
room,5365
always,5307
better,5124
definitely,5072
delicious,4993
many,4951
location,4948
know,4916
lunch,4916
went,4856
side,4854
sweet,4819
next,4806
find,4690
sure,4690
staff,4549
coffee,4528
want,4501
quite,4466
think,4458
store,4451
everything,4439
cream,4424
meal,4382
take,4359
salad,4339
ordered,4325
large,4310
dinner,4297
free,4242
chocolate,4235
something,4121
items,4095
table,4034
every,3960
going,3953
experience,3921
inside,3904
visit,3894
pizza,3875
long,3850
different,3850
last,3811
flavor,3798
yelp,3768
bread,3763
tasty,3757
strip,3749
never,3731
another,3586
hotel,3584
enough,3541
looking,3514
parking,3476
enjoyed,3433
favorite,3426
perfect,3405
huge,3404
wait,3383
dish,3379
show,3377
check,3369
full,3358
super,3334
need,3328
served,3307
fried,3291
excellent,3271
meat,3216
happy,3187
thing,3185
times,3180
things,3174
breakfast,3145
drink,3141
sandwich,3137
amazing,3111
clean,3085
fries,3049
ever,3048
price,3038
beef,3020
rice,3000
drinks,2984
took,2977
course,2972
prices,2960
selection,2941
found,2930
worth,2915
line,2906
taste,2890
home,2884
burger,2879
actually,2862
outside,2853
house,2852
probably,2832
spot,2827
three,2824
pork,2823
spicy,2778
open,2776
look,2765
hour,2753
years,2745
special,2734
cool,2729
beer,2707
quality,2705
high,2676
half,2671
tried,2653
wanted,2643
dessert,2618
without,2606
feel,2588
dining,2581
minutes,2568
stars,2566
several,2524
said,2515
plus,2514
decided,2510
enjoy,2499
awesome,2484
places,2481
shop,2470
light,2461
friend,2445
options,2445
give,2440
town,2419
dishes,2416
soup,2413
couple,2402
cake,2399
away,2394
work,2390
located,2377
part,2355
front,2349
flavors,2340
almost,2322
especially,2310
thought,2306
walk,2298
city,2294
chef,2288
bacon,2286
stop,2277
white,2275
less,2272
friends,2266
style,2261
getting,2255
