text,frequency,freq
컴퓨터,100,193
공간,80,120
로비,52,
교체,36,
바꾸,29,
느낌,26,
책상,26,
입구,26,
자유,22,
공부,22,
도서관,22,
모델링,22,
시설,21,
필요,21,
만들,21,
멀티미디어실,19,
학생,19,
느리,19,
개선,18,
개방,18,
사람,17,
노트북,16,
분위기,16,
없애,13,
열람실,13,
노후,13,
휴게공간,12,
자리,12,
생기,12,
먼지,11,
소음,11,
보이,10,
들어오,9,
들어가,9,
시간,9,
청소,9,
시끄럽,9,
배치,9,
엘리베이터,9,
의자,9,
스터디,9,
인테리어,9,
카페,9,
오래되,8,
연결,8,
좌석,8,
성능,8,
부분,8,
학교,8,
작동,8,
출입문,8,
창의토론라운지,8,
인터넷,8,
설치,7,
대출,7,
지하,7,
바뀌,7,
활용,7,
업그레이드,7,
출입구,7,
치우,7,
분리,7,
비치,6,
디자인,6,
베이,6,
토의,6,
안쪽,6,
늘리,6,
관리,6,
줄이,6,
지금,6,
라운지,6,
컴퓨터실,6,
멀티미디어,6,
조성,6,
출입,5,
도서,5,
반납,5,
인용,5,
비교,5,
서서,5,
편하,5,
학술정보원,5,
환경,5,
불편,5,
느끼,5,
구조,5,
마련,5,
효율,5,
변경,5,
전체,5,
오른쪽,5,
대학,5,
트이,4,
대출실,4,
최신,4,
편안,4,
쌓이,4,
더럽,4,
오픈,4,
최소한,4,
본체,4,
학우,4,
독서,4,
공기,4,
학교 도서관,4,
장난,4,
다운,4,
문제,4,
모르,4,
낙후,4,
변화,4,
현대,4,
청결,4,
속도,4,
경우,4,
계단,4,
들리,3,
편리,3,
게이트,3,
대신,3,
이동,3,
카펫,3,
휴게,3,
강의,3,
컴퓨터 성능,3,
구식,3,
개인,3,
인증,3,
만족,3,
제거,3,
유동,3,
인구,3,
테이블,3,
소파,3,
청정,3,
시스템,3,
신경,3,
이후,3,
자료,3,
나가,3,
폐쇄,3,
떠들,3,
설명,3,
바라,3,
해결,3,
신식,3,
새롭,3,
휴게시설,3,
다니,3,
쇼파,3,
냄새,3,
확장,3,
위치,3,
미디어,3,
상관없,3,
모던,3,
용도,3,
수리,3,
문화,3,
정리,3,
건물,3,
아쉽,3,
바닥,3,
옮기,3,
휴식,3,
드나들,3,
구조물,2,
상위,2,
마음,2,
멋있,2,
복합,2,
올리,2,
터지,2,
소란,2,
모니터,2,
키보드,2,
과제,2,
근로,2,
피시방,2,
비싸,2,
대하,2,
일부,2,
이용자,2,
존재,2,
걱정,2,
동상,2,
고전,2,
냄새나,2,
신형,2,
동그랗,2,
토론,2,
고치,2,
괜찮,2,
정도,2,
구분,2,
비하,2,
콘센트,2,
원하,2,
파일,2,
과정,2,
오가,2,
만나,2,
꾸미,2,
좋아서,2,
휴게 공간,2,
이어지,2,
넓히,2,
기계,2,
24시,2,
화장실,2,
프린트기,2,
환기,2,
조명,2,
열리,2,
제공,2,
현재,2,
인상,2,
대학교,2,
망가지,2,
쓸데없,2,
힘들,2,
전용,2,
복도,2,
얘기,2,
부담,2,
접근성,2,
상태,2,
참고,2,
그렇,2,
주말,2,
부족,2,
프로그램,2,
마우스,2,
신화,2,
변형,2,
나오,2,
들어서,2,
카드,2,
인식,2,
수준,2,
위주,2,
천장,2,
!!,2,
의미,2,
엑셀,2,
워드,2,
설정,2,
오른편,2,
버전,2,
구성,2,
늘어나,2,
정돈,2,
와이파이,2,
말소리,1,
프린터,1,
이외,1,
개방감,1,
머무르,1,
교내,1,
신문,1,
잡지,1,
고환,1,
고려대,1,
어떻,1,
널리,1,
그림,1,
갈아엎,1,
조화,1,
이루,1,
통로,1,
소리,1,
음식물,1,
섭취,1,
디지털,1,
크롬,1,
