text,frequency
이어지,1
할당,1
청소,1
자석,1
소장,1
배부르,1
일수,1
대학 도서관,1
한참,1
모자라,1
내부,1
학업,1
의욕,1
상승,1
도움,1
질도,1
학우,1
휴게시설,1
세종대,1
수준,1
다리,1
통하,1
개인,1
다수,1
불가,1
가구,1
전등,1
학교 도서관,1
어울리,1
방역,1
인간,1
자습,1
붙이,1
전율,1
여자,1
개시,1
지나치,1
얼굴,1
ABCD,1
재질,1
운동,1
화랑,1
마찰,1
커서,1
가게,1
쓰레기,1
폐가,1
열리,1
생기,1
진심,1
이렇,1
방치,1
부부,1
서식,1
코드,1
만들,1
비교,1
대체,1
남자,1
습하,1
크기,1
디자인,1
청정기,1
허용,1
부실,1
식사,1
운영,1
관상,1
만족,1
매너,1
통풍,1
책걸상,1
매우,1
외벽,1
모델링,1
RGB,1
HDMI,1
교자,1
도구,1
요망,1
검색,1
개미,1
도시락,1
환자,1
이용석,1
쇼파,1
발생,1
그렇,1
유지,1
어렵,1
정기,1
이후,1
기타,1
계단,1
차단,1
자판기,1
꺼리,1
창가,1
사이버대학,1
교가,1
축제,1
인터넷,1
덩달,1
클럽,1
시끄럽,1
주중,1
사이,1
수업,1
skbs,1
방송,1
잡음,1
배치,1
조명,1
개보,1
와이파이,1
끊기,1
외관,1
개방감,1
만도,1
최신,1
전공,1
교재,1
시설물,1
옮기,1
정리,1
미비,1
창토라,1
삐걱거리,1
스탠드,1
덮개,1
음식물,1
외부,1
들리,1
학생증,1
카드,1
카페드림,1
선택,1
기계,1
구형,1
뜯어고치,1
연결,1
토론라운지,1
가장자리,1
고시반,1
창문,1
바람,1
불면,1
덜컹거리,1
괴롭,1
형태,1
더럽,1
기울어지,1
온도,1
여름,1
근처,1
로비,1
폐쇄,1
장소,1
깨지,1
부분,1
고정,1
망가,1
멀티플렉스,1
수요,1
공급,1
여우,1
부재,1
느리,1
남성,1
어떻,1
학기,1
조치,1
경우,1
새벽,1
시간대,1
모기,1
두렵,1
서적,1
시험,1
기간,1
남자휴게소,1
관리도,1
능력,1
지상,1
구림,1
장난,1
점검,1
쌓이,1
학정,1
나무,1
장시간,1
엉덩이,1
아프,1
사실,1
위치,1
악취,1
자체,1
무겁,1
전용,2
예약,2
학생,2
에어컨,2
탁하,2
실내,2
고장,2
대학,2
신간,2
엘리베이터,2
수리,2
인용,2
확대,2
주말,2
망가지,2
심하,2
방음,2
구조,2
오래되,2
연기,2
파손,2
간격,2
전반,2
형광등,2
대부분,2
개선,2
특정,2
독점,2
학술정보원,3
어둡,3
자리,3
가능,3
아쉽,3
최악,3
창의토론라운지,3
사람,3
더러움,3
위생,3
상태,3
바퀴벌레,3
벌레,3
라운지,3
베이,3
나오,3
분리,3
시간,3
바꾸,3
들어오,3
흡연,3
구역,3
출몰,3
생각,4
느낌,4
도서,4
동네,4
비하,4
학교,4
분위기,4
문제,4
콘센트,4
24시,4
바닥,4
자료실,4
먼지,4
교체,4
필요,4
멀티미디어실,5
화장실,5
개방,5
담배,5
자료,6
공부,6
스터디,6
소음,6
휴게실,6
냄새,6
환경,7
인테리어,7
관리,7
도서관,8
소리,8
건물,8
지하,8
청결,8
전체,9
공기,9
환기,9
열람석,10
자유,12
불편,13
컴퓨터,14
좌석,15
의자,19
책상,21
낙후,25
공간,27
노트북,35
열람실,43
노후,44
부족,48
시설,84
